journal,date,url
1875-02-11, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592465x
1875-03-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592501n
1875-03-24, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592506j
1875-09-16, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592679d
1875-10-04, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592697b
1876-01-04, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5927892
1876-03-21, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592866j
1876-04-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k592891p
1878-02-18, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k593565h
1879-01-12, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5938943
1879-01-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k593905p
1879-01-31, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5939138
1879-03-12, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k593953n
1879-04-21, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5939931
1879-06-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594038b
1879-06-18, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594051c
1880-09-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594493r
1881-01-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5946339
1881-06-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5947717
1881-07-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594817r
1881-09-09, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594865q
1881-10-31, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5949172
1881-11-06, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k594923w
1882-02-16, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5950254
1882-06-03, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595132n
1882-06-17, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595146h
1882-06-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5951488
1882-06-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595149n
1882-06-25, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5951543
1882-06-27, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595156v
1882-10-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5952565
1882-10-06, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595257j
1882-10-07, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595258x
1882-10-15, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595266h
1882-10-17, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5952688
1882-10-19, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595270k
1882-10-20, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595271z
1882-10-22, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595273q
1882-10-23, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5952743
1882-11-01, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5952832
1882-11-02, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595284f
1882-11-03, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595285t
1882-11-05, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595287k
1882-11-06, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k595288z
