date,journal,url
1870-01-01, Annales industrielles, https://gallica.bnf.fr/ark:/12148/bpt6k5831557k
1870-10-01, Annales des voyages de la géographie de l'histoire et de l'archéologie / dirigés par V. A. Malte-Brun..., https://gallica.bnf.fr/ark:/12148/bpt6k699732
1871-01-01, L'Intermédiaire des chercheurs et curieux : Notes and queries français : questions et réponses communications diverses à l'usage de tous littérateurs et gens du monde artistes bibliophiles archéologues généalogistes etc. / M. Carle de Rash directeur..., https://gallica.bnf.fr/ark:/12148/bpt6k614445
1870-01-13, Journal des débats politiques et littéraires, https://gallica.bnf.fr/ark:/12148/bpt6k4574777
1870-01-19, Le Petit moniteur universel : journal quotidien, https://gallica.bnf.fr/ark:/12148/bpt6k35413059
1870-03-14, Le Français : journal du soir / rédacteur en chef : François Beslay, https://gallica.bnf.fr/ark:/12148/bpt6k1674172m
1870-05-31, La France : politique scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy], https://gallica.bnf.fr/ark:/12148/bpt6k1631486n
1870-06-05, Figaro : journal non politique, https://gallica.bnf.fr/ark:/12148/bpt6k271881z
1870-06-26, Le Français : journal du soir / rédacteur en chef : François Beslay, https://gallica.bnf.fr/ark:/12148/bpt6k1674273c
1870-06-26, Mémorial de la Loire et de la Haute-Loire, https://gallica.bnf.fr/ark:/12148/bpt6k48568956
1870-06-27, Journal des villes et des campagnes, https://gallica.bnf.fr/ark:/12148/bpt6k1813752f
1870-07-23, La Semaine des familles : revue universelle illustrée, https://gallica.bnf.fr/ark:/12148/bpt6k5520045b
1870-07-27, Gazette nationale ou le Moniteur universel, https://gallica.bnf.fr/ark:/12148/bpt6k44540397
1870-07-31, Journal de Roanne : paraissant le dimanche..., https://gallica.bnf.fr/ark:/12148/bpt6k17819704
1871-01-01, Journal des chemins de fer et des progrès industriels / [directeur gérant Whitelock], https://gallica.bnf.fr/ark:/12148/bpt6k122379z
1871-01-01, La Revue politique et littéraire : revue des cours littéraires..., https://gallica.bnf.fr/ark:/12148/bpt6k214792r
1871-11-01, Session ordinaire et extraordinaire du Conseil général / Département de la Martinique, https://gallica.bnf.fr/ark:/12148/bpt6k54556800
1871-01-01, Bulletin de la Société des sciences historiques et naturelles de l'Yonne, https://gallica.bnf.fr/ark:/12148/bpt6k298667b
1871-01-01, Bulletin de la Société académique du Var, https://gallica.bnf.fr/ark:/12148/bpt6k5447933q
1871-01-01, Impressions : projets de lois propositions rapports etc. / Assemblée nationale, https://gallica.bnf.fr/ark:/12148/bpt6k9620025n
1871-11-01, Bulletin / Oeuvre de saint Augustin et de sainte Monique patronne des mères chrétiennes, https://gallica.bnf.fr/ark:/12148/bpt6k112378b
1871-01-27, Journal officiel de la République française, https://gallica.bnf.fr/ark:/12148/bpt6k64303780
1871-01-28, Le Constitutionnel : journal du commerce politique et littéraire, https://gallica.bnf.fr/ark:/12148/bpt6k675966d
1871-01-28, Journal des débats politiques et littéraires, https://gallica.bnf.fr/ark:/12148/bpt6k4578585
1871-01-28, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k5910026
1871-01-28, Le Pays : journal des volontés de la France, https://gallica.bnf.fr/ark:/12148/bpt6k4678447f
1871-01-28, La France : politique scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy], https://gallica.bnf.fr/ark:/12148/bpt6k1631729n
1871-01-28, L'Opinion nationale : journal politique quotidien / rédacteur en chef Adolphe Guéroult, https://gallica.bnf.fr/ark:/12148/bpt6k3629443h
1871-01-29, Le Temps, https://gallica.bnf.fr/ark:/12148/bpt6k224551m
1871-01-29, La Petite presse : journal quotidien... / [rédacteur en chef : Balathier Bragelonne], https://gallica.bnf.fr/ark:/12148/bpt6k47185659
1871-01-30, Le Petit moniteur universel : journal quotidien, https://gallica.bnf.fr/ark:/12148/bpt6k3541681q
1871-02-04, Le Monde illustré, https://gallica.bnf.fr/ark:/12148/bpt6k62235798
1871-02-25, Gazette nationale ou le Moniteur universel, https://gallica.bnf.fr/ark:/12148/bpt6k4454251c
1871-03-15, Le Courrier du Gard : journal politique administratif et judiciaire, https://gallica.bnf.fr/ark:/12148/bpt6k1481404p
1871-04-02, Le Sémaphore de Marseille : feuille commerciale maritime industrielle d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy, https://gallica.bnf.fr/ark:/12148/bpt6k28635471
1871-04-24, Le Messager de Paris. ["puis" Bulletin de la Cote de la Bourse. Politique et financier.], https://gallica.bnf.fr/ark:/12148/bpt6k3648281r
1871-04-25, Le Temps, https://gallica.bnf.fr/ark:/12148/bpt6k224634c
1871-04-25, Le Rappel / directeur gérant Albert Barbieux, https://gallica.bnf.fr/ark:/12148/bpt6k7536365p
1871-04-25, La France : politique scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy], https://gallica.bnf.fr/ark:/12148/bpt6k16317873
1871-04-25, Gazette nationale ou le Moniteur universel, https://gallica.bnf.fr/ark:/12148/bpt6k4454308q
1871-04-26, Journal de la ville de Saint-Quentin et de l'arrondissement ou Feuille d'annonces judiciaires..., https://gallica.bnf.fr/ark:/12148/bpt6k1837252h
1871-04-27, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k591090j
1871-04-27, Journal de Seine-et-Marne : Feuille littéraire commerciale industrielle d'utilité locale et non politique, https://gallica.bnf.fr/ark:/12148/bpt6k17883937
1871-04-27, Journal du Cher, https://gallica.bnf.fr/ark:/12148/bpt6k2473414m
1871-04-28, L'Indépendant des Basses-Pyrénées : paraissant les lundi mercredi et vendredi ["puis" paraissant tous les jours excepté le dimanche "puis" journal républicain quotidien "puis" le mieux informé des journaux de la région], https://gallica.bnf.fr/ark:/12148/bpt6k52226600
1871-04-29, Le Courrier du Gard : journal politique administratif et judiciaire, https://gallica.bnf.fr/ark:/12148/bpt6k1481447f
1871-05-04, Le Courrier de Saône-et-Loire : journal politique et judiciaire, https://gallica.bnf.fr/ark:/12148/bpt6k4379890d
1871-09-03, Phare de la Loire : bulletin commercial et maritime de Nantes, https://gallica.bnf.fr/ark:/12148/bpt6k2916069p
1871-09-06, Les Tablettes des Deux Charentes : politique commerce agriculture marine tribunaux littérature théâtre ["puis" journal politique commercial agricole littéraire et d'annonces "puis" journal politique "puis" journal politique maritime et colonial], https://gallica.bnf.fr/ark:/12148/bpt6k49647075
1871-12-05, Gazette nationale ou le Moniteur universel, https://gallica.bnf.fr/ark:/12148/bpt6k44545233
1872-04-01, Les États unis d'Europe : organe de la Ligue internationale de la paix et de la liberté, https://gallica.bnf.fr/ark:/12148/bpt6k1153916
1872-10-01, Musée universel : revue illustrée hebdomadaire, https://gallica.bnf.fr/ark:/12148/bpt6k5775615p
1872-01-01, Annales de l'Assemblée nationale : compte rendu in extenso des séances annexes, https://gallica.bnf.fr/ark:/12148/bpt6k97352225
1872-01-01, Bulletin de la Société de géographie, https://gallica.bnf.fr/ark:/12148/bpt6k377006
1872-01-01, Bulletin de la Société belfortaine d'émulation, https://gallica.bnf.fr/ark:/12148/bpt6k9761118h
1872-11-01, Oeuvre des écoles d'Orient : bulletin périodique..., https://gallica.bnf.fr/ark:/12148/bpt6k9790726n
1872-01-17, Journal officiel de la République française, https://gallica.bnf.fr/ark:/12148/bpt6k6209060r
1872-03-24, Le Petit journal, https://gallica.bnf.fr/ark:/12148/bpt6k591411d
1872-04-21, Gazette nationale ou le Moniteur universel, https://gallica.bnf.fr/ark:/12148/bpt6k44411527
1872-04-24, L'Écho rochelais : feuille d'annonces commerciales judiciaires et d'avis divers ["puis" journal politique de la Charente-Inférieure "puis" journal des Charentes politique et commercial], https://gallica.bnf.fr/ark:/12148/bpt6k1621259s
1872-07-17, Le Courrier de la Rochelle : journal politique littéraire et d'annonces feuille spéciale du commerce et de l'agriculture ["puis" journal républicain], https://gallica.bnf.fr/ark:/12148/bpt6k1144925p
1872-08-30, Le Temps, https://gallica.bnf.fr/ark:/12148/bpt6k225118x
1872-08-31, La République française, https://gallica.bnf.fr/ark:/12148/bpt6k4986197p
1872-08-31, Le Soir : feuille de nouvelles ne paraissant qu'à sept heures et demie, https://gallica.bnf.fr/ark:/12148/bpt6k2573033t
1872-08-31, L'Opinion nationale : journal politique quotidien / rédacteur en chef Adolphe Guéroult, https://gallica.bnf.fr/ark:/12148/bpt6k3629980h
1872-09-01, Le Rappel / directeur gérant Albert Barbieux, https://gallica.bnf.fr/ark:/12148/bpt6k75332996
1872-09-01, Journal des débats politiques et littéraires, https://gallica.bnf.fr/ark:/12148/bpt6k4583831
1872-09-02, Le Progrès de la Somme : organe de la démocratie, https://gallica.bnf.fr/ark:/12148/bpt6k3610404b
1872-09-03, Phare de la Loire : bulletin commercial et maritime de Nantes, https://gallica.bnf.fr/ark:/12148/bpt6k29135593
1872-09-06, L'Opinion nationale : journal politique quotidien / rédacteur en chef Adolphe Guéroult, https://gallica.bnf.fr/ark:/12148/bpt6k36299860
1872-11-02, La Semaine religieuse du diocèse de Rouen, https://gallica.bnf.fr/ark:/12148/bpt6k6330134w
1872-12-12, Figaro : journal non politique, https://gallica.bnf.fr/ark:/12148/bpt6k2747146
1872-12-14, Journal du Cher, https://gallica.bnf.fr/ark:/12148/bpt6k2479471h
1873-01-01, Les États unis d'Europe : organe de la Ligue internationale de la paix et de la liberté, https://gallica.bnf.fr/ark:/12148/bpt6k115392k
1873-01-01, Le Temps, https://gallica.bnf.fr/ark:/12148/bpt6k2252454
1873-01-01, La Revue politique et littéraire : revue des cours littéraires..., https://gallica.bnf.fr/ark:/12148/bpt6k214794h
1873-05-01, Revue de l'enseignement chrétien : recueil périodique publié par les professeurs de l'Assomption, https://gallica.bnf.fr/ark:/12148/bpt6k54403374
1873-01-01, Mémoires de la Société archéologique de Touraine. Série in-8, https://gallica.bnf.fr/ark:/12148/bpt6k5504272m
1873-01-01, Bulletin archéologique / publié sous la direction de la Société archéologique de Tarn-et-Garonne..., https://gallica.bnf.fr/ark:/12148/bpt6k55915882
1873-01-01, Bulletin archéologique / publié sous la direction de la Société archéologique de Tarn-et-Garonne..., https://gallica.bnf.fr/ark:/12148/bpt6k5505226p
1873-01-30, L'Evénement, https://gallica.bnf.fr/ark:/12148/bpt6k2730678x
1873-03-22, La Gironde : journal de Bordeaux ["puis" hebdomadaire illustré du Sud-Ouest], https://gallica.bnf.fr/ark:/12148/bpt6k3614664j
