La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest],1064
La Liberté,945
Mémorial de la Loire et de la Haute-Loire,720
Phare de la Loire : bulletin commercial et maritime de Nantes,679
Journal du Cher,632
"Le Sémaphore de Marseille : feuille commerciale, maritime, industrielle, d'annonces judiciaires et avis divers / rétablie et publiée par Ricard et Demonchy",593
Le Courrier de Saône-et-Loire : journal politique et judiciaire,569
Le Jockey : journal hebdomadaire et spécial de sport,543
"La France : politique, scientifique et littéraire / [rédacteur en chef : Léo de Saint-Poncy]",473
"L'Écho rochelais : feuille d'annonces commerciales, judiciaires et d'avis divers [puis journal politique de la Charente-Inférieure puis journal des Charentes, politique et commercial]",437
