Journal des débats politiques et littéraires,39
La Presse,25
"Les Tablettes des Deux Charentes : politique, commerce, agriculture, marine, tribunaux, littérature, théâtre [puis journal politique, commercial, agricole, littéraire et d'annonces puis journal politique puis journal politique, maritime et colonial]",23
La Gironde : journal de Bordeaux [puis hebdomadaire illustré du Sud-Ouest],20
Le Messager de Paris,20
Journal des villes et des campagnes,15
L'Univers illustré : journal hebdomadaire,13
La Gazette de France,11
Phare de la Loire : bulletin commercial et maritime de Nantes,11
Bulletin de la Société de géographie,10
