journal,date,url,code
"""Athéna"" (Paris. 1922)",1922-1922,https://gallica.bnf.fr/ark:/12148/cb32706140t/date,cb32706140t
Cinéma (Paris. 1911),1911-1914,https://gallica.bnf.fr/ark:/12148/cb32742366x/date,cb32742366x
"""Guide indicateur illustré des chemins de fer de Paris à Lyon et à la Méditerranée"". Dauphiné, Victor-Emmanuel...",1861,https://gallica.bnf.fr/ark:/12148/cb327851438/date,cb327851438
"""Journal de la morale chrétienne""",18??,https://gallica.bnf.fr/ark:/12148/cb327981614/date,cb327981614
Les Essais (Paris. 1904),1904-1906,https://gallica.bnf.fr/ark:/12148/cb32769184d/date,cb32769184d
"""Lettre de nouvelles catholiques anglaises"". Publié par the Tablet Publishing Company",19??,https://gallica.bnf.fr/ark:/12148/cb328060385/date,cb328060385
"""Nos jeudis"" : journal des patronages",1910-1914,https://gallica.bnf.fr/ark:/12148/cb32824520d/date,cb32824520d
"""Résistance"" de Bordeaux & du Sud-Ouest : bulletin mensuel d'informations",1943-1949,https://gallica.bnf.fr/ark:/12148/cb328532637/date,cb328532637
... Centurie des questions traitées ez conférences du Bureau d'adresse ...,1633-1655,https://gallica.bnf.fr/ark:/12148/cb41459716t/date,cb41459716t
Compte-rendu annuel (Société des Instituteurs catholiques du diocèse de Cambrai),1888-189.,https://gallica.bnf.fr/ark:/12148/cb32870004v/date,cb32870004v
... Journal régional de parrainage et de liaison des Francs-tireurs et partisans,19??,https://gallica.bnf.fr/ark:/12148/cb32802318d/date,cb32802318d
... Rapport annuel de la clinique ophthalmologique de M. le professeur Dr Dor à Lyon / [par le Dr H. Dor],1878-1892,https://gallica.bnf.fr/ark:/12148/cb42094619n/date,cb42094619n
14 juillet. Journal des marraines de la Compagnie des francs-tireurs et partisans français...,1944,https://gallica.bnf.fr/ark:/12148/cb32846449r/date,cb32846449r
14 juillet. Organe de la résistance de la sous-région de Lyon,1944,https://gallica.bnf.fr/ark:/12148/cb32846452n/date,cb32846452n
"1833, ou l'Année de la mère",1833-1834,https://gallica.bnf.fr/ark:/12148/cb414183755/date,cb414183755
