date,journal,url,term
1882-01-01,"Recueil général des lois, décrets et arrêtés ...",https://gallica.bnf.fr/ark:/12148/bpt6k1170784f,brazza
1883-01-01,"Recueil général des lois, décrets et arrêtés ...",https://gallica.bnf.fr/ark:/12148/bpt6k14104335,brazza
1884-01-01,"Recueil général des lois, décrets et arrêtés ...",https://gallica.bnf.fr/ark:/12148/bpt6k9481802,brazza
1882-01-07,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k1253733r,brazza
1883-04-21,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k12588431,brazza
1884-01-05,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k1256119b,brazza
1885-08-01,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k1254114n,brazza
1887-01-01,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k1256121d,brazza
1905-01-07,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k12568012,brazza
1911-11-25,"La Vie parisienne : moeurs élégantes, choses du jour, fantaisies, voyages, théâtres, musique, modes / par Marcellin",https://gallica.bnf.fr/ark:/12148/bpt6k12560353,brazza
1875-02-11,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592465x,brazza
1875-03-19,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592501n,brazza
1875-03-24,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592506j,brazza
1875-09-16,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592679d,brazza
1875-10-04,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592697b,brazza
1876-01-04,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5927892,brazza
1876-03-21,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592866j,brazza
1876-04-15,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k592891p,brazza
1878-02-18,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k593565h,brazza
1879-01-12,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5938943,brazza
1879-01-23,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k593905p,brazza
1879-01-31,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5939138,brazza
1879-03-12,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k593953n,brazza
1879-04-21,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5939931,brazza
1880-09-02,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k594493r,brazza
1881-01-20,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5946339,brazza
1881-06-07,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5947717,brazza
1881-07-23,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k594817r,brazza
1881-10-31,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5949172,brazza
1881-11-06,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k594923w,brazza
1882-02-16,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5950254,brazza
1882-06-03,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595132n,brazza
1882-06-17,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595146h,brazza
1882-06-19,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5951488,brazza
1882-06-20,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595149n,brazza
1882-06-25,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5951543,brazza
1882-06-27,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595156v,brazza
1882-10-05,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5952565,brazza
1882-10-06,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595257j,brazza
1882-10-07,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595258x,brazza
1882-10-15,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595266h,brazza
1882-10-17,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5952688,brazza
1882-10-19,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595270k,brazza
1882-10-20,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595271z,brazza
1882-10-22,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595273q,brazza
1882-10-23,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5952743,brazza
1882-11-01,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5952832,brazza
1882-11-02,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595284f,brazza
1882-11-03,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595285t,brazza
1882-11-05,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595287k,brazza
1882-11-06,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595288z,brazza
1882-11-10,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5952921,brazza
1882-11-15,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595297x,brazza
1882-11-17,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595299p,brazza
1882-11-19,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595301v,brazza
1882-11-20,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5953027,brazza
1882-11-22,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5953040,brazza
1882-11-23,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595305c,brazza
1882-11-27,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595309w,brazza
1882-11-28,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595310t,brazza
1882-11-29,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k5953116,brazza
1882-11-30,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595312k,brazza
1882-12-01,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595313z,brazza
1882-12-02,Le Petit journal,https://gallica.bnf.fr/ark:/12148/bpt6k595314b,brazza
