journal,publishDate,textQuality,url,code 
"Gazette du commerce", 1763-1783, 98.51, https://gallica.bnf.fr/ark:/12148/cb32781047d/date, cb32781047d_date
"Ordre d'administration pour le soulagement des pauvres de la paroisse de Saint-Sulpice (Éd. in-4)", 1777-1787, 95.01, https://gallica.bnf.fr/ark:/12148/cb32829746v/date, cb32829746v_date
"Explication des peintures, sculptures et autres ouvrages de Messieurs de l'Académie royale, dont l'exposition a été ordonnée suivant l'intention de Sa Majesté... dans le grand sallon du Louvre...", 1737-1793, 79.97, https://gallica.bnf.fr/ark:/12148/cb327720223/date, cb327720223_date
"Histoire de l'Académie royale des sciences ... avec les mémoires de mathématique & de physique... tirez des registres de cette Académie", 1702-1797, 77.13, https://gallica.bnf.fr/ark:/12148/cb32786820s/date, cb32786820s_date
"Observations sur la physique, sur l'histoire naturelle et sur les arts / par M. l'abbé Rozier,...", 1771-1793, 95.0, https://gallica.bnf.fr/ark:/12148/cb399860128/date, cb399860128_date
"Histoire de l'Académie royale des inscriptions et belles-lettres, avec les Mémoires de littérature tirés des registres de cette académie...", 1710-1843, 90.21, https://gallica.bnf.fr/ark:/12148/cb34529959h/date, cb34529959h_date
"La Feuille sans titre.", 1777-1777, 76.47, https://gallica.bnf.fr/ark:/12148/cb327748114/date, cb327748114_date
"La Connaissance des temps (1679)", 1679-1803, 98.5, https://gallica.bnf.fr/ark:/12148/cb327469896/date, cb327469896_date
"Recueil de plusieurs pièces d'éloquence et de poésie présentées à l'Académie des jeux floraux", 1696-1790, 98.5, https://gallica.bnf.fr/ark:/12148/cb344401899/date, cb344401899_date
"Mélanges littéraires, ou Journal des dames, dédié à la Reine / par M. Dorat", 1777-1778, 98.5, https://gallica.bnf.fr/ark:/12148/cb34473029h/date, cb34473029h_date
"Gazette des tribunaux (Paris. 1775)", 1775-1790, 98.5, https://gallica.bnf.fr/ark:/12148/cb32780969z/date, cb32780969z_date
"Recueil de l'Académie des belles-lettres, sciences et arts de Marseille ...", 1774-1787, 95.0, https://gallica.bnf.fr/ark:/12148/cb34400199s/date, cb34400199s_date
"Feuille hebdomadaire de la généralité de Limoges", 1775-1791, 85.54, https://gallica.bnf.fr/ark:/12148/cb32774716k/date, cb32774716k_date
"Almanach littéraire ou Etrennes d'Apollon", 1777-1805, 95.0, https://gallica.bnf.fr/ark:/12148/cb32689659t/date, cb32689659t_date
"Affiches, annonces, et avis divers (Paris)", 1761-1784, 98.5, https://gallica.bnf.fr/ark:/12148/cb32683020p/date, cb32683020p_date
"Le Radoteur", 1775-1777, 93.65, https://gallica.bnf.fr/ark:/12148/cb32847551t/date, cb32847551t_date
"Recueil des declarations, edits, lettres patentes, et arrets du Conseil d'Etat du Roi, enregistrés au Parlement de Dijon", 1689-1789, 97.07, https://gallica.bnf.fr/ark:/12148/cb451688508/date, cb451688508_date
"Étrennes du Parnasse", 1770-1790, 95.0, https://gallica.bnf.fr/ark:/12148/cb41948897b/date, cb41948897b_date
"Almanach historique et raisonné des architectes, peintres, sculpteurs, graveurs et cizeleurs", 1776-1777, 99.93, https://gallica.bnf.fr/ark:/12148/cb32689352k/date, cb32689352k_date
"Recueil des édits, déclarations, arrêts et ordonnances de l'année ... pour la province de Languedoc", 1698-1790, 98.5, https://gallica.bnf.fr/ark:/12148/cb419543093/date, cb419543093_date
"Détail des succès de l'établissement que la ville de Paris a fait en faveur des personnes noyées", 1773-1789, 84.85, https://gallica.bnf.fr/ark:/12148/cb32756451b/date, cb32756451b_date
"Etat de la marine", 1763-1790, 99.88, https://gallica.bnf.fr/ark:/12148/cb32769771q/date, cb32769771q_date
"Etat du G∴ O∴ de France", 1777-1807, 83.47, https://gallica.bnf.fr/ark:/12148/cb32769791b/date, cb32769791b_date
"Affiches du Poitou", 1773-1781, 99.93, https://gallica.bnf.fr/ark:/12148/cb32683261t/date, cb32683261t_date
"Gazette de France (Paris. 1762)", 1762-1792, 91.33, https://gallica.bnf.fr/ark:/12148/cb41265434t/date, cb41265434t_date
"Annonces, affiches et avis divers pour la ville du Mans et pour la province", 1771-1779, 94.75, https://gallica.bnf.fr/ark:/12148/cb41319451h/date, cb41319451h_date
"Journal des théatres, ou le Nouveau spectateur", 1776-1778, 88.72, https://gallica.bnf.fr/ark:/12148/cb328004840/date, cb328004840_date
"Histoire de l'Académie royale des inscriptions et belles-lettres (Éd. in-12)", 1718-1781, 81.78, https://gallica.bnf.fr/ark:/12148/cb410192027/date, cb410192027_date
"Mémoires concernant l'histoire, les sciences, les arts, les moeurs, les usages, &c. des Chinois", 1776-1814, 80.04, https://gallica.bnf.fr/ark:/12148/cb39279325r/date, cb39279325r_date
"Ephemerides des mouvemens celestes pour l'an de grace ... : avec les tables du passage de la lune par le meridien, & de l'heure de la pleine mer dans les principaux ports de France, d'Hollande et d'Angleterre : pour le meridien de paris...", 1714-1792, 67.26, https://gallica.bnf.fr/ark:/12148/cb327681249/date, cb327681249_date
"Journal de politique et de littérature", 1774-1778, 84.2, https://gallica.bnf.fr/ark:/12148/cb344724208/date, cb344724208_date
"Gazette de médecine pour les colonies.", 1778-1779, 95.01, https://gallica.bnf.fr/ark:/12148/cb32780523j/date, cb32780523j_date
"Annales poétiques ou Almanach des muses (Ed. in-8)", 1778-1788, 84.32, https://gallica.bnf.fr/ark:/12148/cb42466972g/date, cb42466972g_date
"Journal de littérature, des sciences et des arts / par Mr. l'abbé Grosier ; au profit de la Maison d'institution des jeunes orphelins militaires", 1779-1783, 98.5, https://gallica.bnf.fr/ark:/12148/cb32798387c/date, cb32798387c_date
"Journal du Palais de Provence, ou Recueil des arrêts rendus depuis les derniers journalistes par le Parlement et la Cour des aides de cette province", 1782-1785, 96.66, https://gallica.bnf.fr/ark:/12148/cb451255141/date, cb451255141_date
"Nouvelles de la république des lettres et des arts", 1777-1788, 98.51, https://gallica.bnf.fr/ark:/12148/cb328265635/date, cb328265635_date
"Mercure de France (Amsterdam)", 1770-1780, 80.15, https://gallica.bnf.fr/ark:/12148/cb32814316d/date, cb32814316d_date
"Journal de l'agriculture, du commerce et des finances", 1765-1783, 95.0, https://gallica.bnf.fr/ark:/12148/cb32797536s/date, cb32797536s_date
"Journal de Turin et des provinces", 1780-1781, 99.93, https://gallica.bnf.fr/ark:/12148/cb43729144k/date, cb43729144k_date
"Étrennes lyriques, anacréontiques", 1781-1822, 95.0, https://gallica.bnf.fr/ark:/12148/cb327706092/date, cb327706092_date
"Précis analytique des travaux de l'Académie des sciences, belles-lettres et arts de Rouen", 1807, 93.35, https://gallica.bnf.fr/ark:/12148/cb34437660f/date, cb34437660f_date
"Nouveaux mémoires de l'Académie de Dijon, pour la partie des sciences et des arts", 1782-1785, 83.27, https://gallica.bnf.fr/ark:/12148/cb344377554/date, cb344377554_date
"Histoire et mémoires de l'Académie royale des sciences, inscriptions et belles-lettres de Toulouse", 1782-1841, 98.5, https://gallica.bnf.fr/ark:/12148/cb32786835t/date, cb32786835t_date
"Bibliothèque physico-économique, instructive et amusante : contenant des mémoires & observations-pratiques sur l'économie rurale, sur les nouvelles découvertes les plus intéressantes ; la description des nouvelles machines & instrumens inventés pour la perfection des arts utiles & agréables, &c. &c. On y a joint nombre de remèdes, pratiques & procédés découverts récemment sur les maladies des hommes & des animaux, sur l'économie domestique, & en général sur tous les objets d'agrément & d'utilité dans la vie", 1782-1831, 85.07, https://gallica.bnf.fr/ark:/12148/cb32712362x/date, cb32712362x_date
"Hospice de Charité. Comptes de l'année...", 17??, 98.5, https://gallica.bnf.fr/ark:/12148/cb32787479k/date, cb32787479k_date
"Annonces, affiches, nouvelles et avis divers de la Province du Poitou, apanage de Monseigneur, comte d'Artois", 1782-1786, 99.93, https://gallica.bnf.fr/ark:/12148/cb326952051/date, cb326952051_date
"L'Ami de l'adolescence", 1784-1785, 85.95, https://gallica.bnf.fr/ark:/12148/cb424149154/date, cb424149154_date
"Cabinet des modes, ou les Modes nouvelles, décrites d'une manière claire & précise, & représentées par des planches en taille-douce, enluminées", 1785-1786, 83.59, https://gallica.bnf.fr/ark:/12148/cb327349107/date, cb327349107_date
"Mémoires d'agriculture, d'économie rurale et domestique / publiés par la Société royale d'agriculture de Paris", 1785-1872, 93.84, https://gallica.bnf.fr/ark:/12148/cb328131247/date, cb328131247_date
"Journal de la langue françoise, soit exacte, soit ornée", 1784-1792, 79.99, https://gallica.bnf.fr/ark:/12148/cb34361126w/date, cb34361126w_date
"Courier lyrique et amusant, ou Passe-temps des toilettes", 1785-1789, 85.63, https://gallica.bnf.fr/ark:/12148/cb327515088/date, cb327515088_date
"Variétés littéraires. L'année historique, ou Recueil d'évenemens & époques mémorables, succintement rapportés à leur ordre de date & indication d'année", 1785-1787, 90.49, https://gallica.bnf.fr/ark:/12148/cb328869416/date, cb328869416_date
"Almanach des Grâces (Paris. 1784)", 1784-1795, 95.0, https://gallica.bnf.fr/ark:/12148/cb326879444/date, cb326879444_date
"Almanach général des marchands, négocians et commerçans de la France et de l'Europe : contenant l'état des principales villes commerçantes, la nature des marchandises ou denrées qui s'y trouvent, les différentes manufactures ou fabriques relatives au commerce, avec les noms de leurs principaux marchands, négocians, fabriquants, banquiers, artistes, &c.", 1772-1786, 99.24, https://gallica.bnf.fr/ark:/12148/cb32689193m/date, cb32689193m_date
"Procès verbal des séances de l'Assemblée provinciale de Haute-Guienne, tenue à Villefranche...", 1780-1787, 98.5, https://gallica.bnf.fr/ark:/12148/cb32843334q/date, cb32843334q_date
"Variétés littéraires. Anecdotes", 1785-1787, 83.83, https://gallica.bnf.fr/ark:/12148/cb32886940v/date, cb32886940v_date
"Magasin des modes nouvelles, françaises et anglaises, décrites d'une manière claire & précise, & représentées par des planches en taille-douce, enluminées", 1786-1789, 99.9, https://gallica.bnf.fr/ark:/12148/cb32896302v/date, cb32896302v_date
"Variétés littéraires. L'histoire soumise à l'opinion, ou Morceaux détachés d'histoire, tant ancienne que moderne, discutés & éclaircis", 1785-1786, 84.3, https://gallica.bnf.fr/ark:/12148/cb32886942j/date, cb32886942j_date
