Date,journal,url
1880-01-01,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",https://gallica.bnf.fr/ark:/12148/bpt6k9822398p
1875-05-28,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459368h
1875-09-12,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4594751
1875-11-25,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459548f
1876-02-21,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459636n
1876-04-25,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459699v
1876-05-02,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459706x
1876-06-18,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459753h
1876-07-31,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4597961
1876-11-10,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459896b
1877-02-27,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460004r
1877-09-15,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4602030
1877-09-26,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460214q
1878-03-17,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460384f
1878-12-23,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4606605
1878-12-25,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460662x
1879-01-05,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4606728
1879-01-09,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460676s
1879-01-18,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460685r
1879-01-20,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460687h
1879-01-23,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4606906
1879-01-26,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460693b
1879-03-06,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4607326
1879-03-13,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460739v
1879-06-24,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460841g
1879-07-15,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460862j
1879-07-25,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460872w
1879-07-31,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4608785
1879-08-29,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4609069
1879-09-02,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k460910c
1879-10-04,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4609425
1880-01-04,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4610329
1880-01-22,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4610507
1880-05-27,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k461174r
1880-07-10,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k461218h
1880-07-26,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4612339
1880-09-01,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k461269m
1880-11-17,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k461345q
1880-12-21,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4613798
1875-05-30,"Journal de la ville de Saint-Quentin et de l'arrondissement, ou Feuille d'annonces judiciaires...",https://gallica.bnf.fr/ark:/12148/bpt6k1837823v
1876-02-09,"Journal de la ville de Saint-Quentin et de l'arrondissement, ou Feuille d'annonces judiciaires...",https://gallica.bnf.fr/ark:/12148/bpt6k1837933k
1879-01-26,"Journal de la ville de Saint-Quentin et de l'arrondissement, ou Feuille d'annonces judiciaires...",https://gallica.bnf.fr/ark:/12148/bpt6k18383896
1879-07-25,"Journal de la ville de Saint-Quentin et de l'arrondissement, ou Feuille d'annonces judiciaires...",https://gallica.bnf.fr/ark:/12148/bpt6k1838467z
1876-04-25,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k677799h
1876-05-05,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k677809q
1876-06-21,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k677855x
1876-11-11,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k6779960
1879-04-23,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k6788768
1879-08-07,"Le Constitutionnel : journal du commerce, politique et littéraire",https://gallica.bnf.fr/ark:/12148/bpt6k6789811
